Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
Rush-YaHg3WkxaVlFiLn-Q,The Cuban,39-17 Bell Blvd,"{'latitude': 40.76484, 'longitude': -73.7714817}",87,4.0,11361
NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,17 Prince St,"{'latitude': 40.722998, 'longitude': -73.994171}",3156,4.0,10012
UKy0nNjMkOBEU3dOCH831w,Cuba Restaurant and Rum Bar,222 Thompson St,"{'latitude': 40.729084, 'longitude': -73.998832}",1560,4.0,10012
zekbMn7KWtzxTFLtfEqb1w,Rincon Criollo,40-09 Junction Blvd,"{'latitude': 40.7489644, 'longitude': -73.8690814}",809,4.5,11368
jcZ0EKRhIkEk3a8iOv8Axg,Km1,58 East 1st St,"{'latitude': 40.72388, 'longitude': -73.989169}",2,5.0,10003
vgg1dvDP-9tFWSacN4q0nA,Coppelia,207 W 14th St,"{'latitude': 40.7389111700125, 'longitude': -73.9999985153443}",1350,4.0,10011
SyEi1P5FKCBiAIZ14RggmA,My Cuban Spot,488 Carroll St,"{'latitude': 40.6769086333056, 'longitude': -73.9861538242469}",218,4.5,11215
hJrZIHNRVUuC_PXAORxj9g,Favela Cubana,543 LaGuardia Pl,"{'latitude': 40.7284702112794, 'longitude': -73.9979839324952}",1061,4.0,10012
tJHmKLn1lWpaPuZTZrDgsA,Havana NY,58 W 38th St,"{'latitude': 40.75189, 'longitude': -73.98517}",286,4.0,10018
knGthxUt9OEdzDjM0oN5fw,Cubana Cafe,272 Smith St,"{'latitude': 40.682652, 'longitude': -73.9935}",373,3.5,11231
UKDOoYu_g1HYBvs5TpdG6w,Amor Cubano,2018 3rd Ave,"{'latitude': 40.794776, 'longitude': -73.942703}",495,4.0,10029
x2WubWdziN7qqUZehdp1PA,Pilar Cuban Eatery,397 Greene Ave,"{'latitude': 40.68808, 'longitude': -73.9551}",325,4.0,11216
H9GD7km7riFooM0FkdwOPg,Calle Ocho,2756 Broadway,"{'latitude': 40.801264, 'longitude': -73.967663}",2519,4.0,10025
gEEqoeSekTOjRVmyY4fplA,Cabana,107-10 70th Rd,"{'latitude': 40.7208678329074, 'longitude': -73.8456881046295}",965,4.0,11375
zQkjDxo8oDVGVj9cpTpUig,Habana Outpost,757 Fulton St,"{'latitude': 40.68645, 'longitude': -73.97416}",1006,4.0,11217
al9HKZ3kCJipAJW4uxzj4A,Havana Central,151 W 46th St,"{'latitude': 40.75831, 'longitude': -73.98416}",2343,4.0,10036
StpOKezaW-AyN2xA1EJKvw,Victor's Cafe,236 W 52nd St,"{'latitude': 40.7629499, 'longitude': -73.98403}",1480,4.0,10019
HApdNNztx8Q7VF_9vkoAUA,Guantanamera,939 8th Ave,"{'latitude': 40.7658919619653, 'longitude': -73.9837475423279}",914,3.5,10019
ukOsBKML_Ph_hSyxv3gNlA,Sabor De Cuba,3703 31st Ave,"{'latitude': 40.76217, 'longitude': -73.918358}",350,4.0,11103
4CObV3XU8VQ6nXeVS4vO0A,Margon,136 W 46th St,"{'latitude': 40.75787, 'longitude': -73.98398}",739,4.0,10036
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao Chelsea,461 W 23RDST,"{'latitude': 40.7476138310811, 'longitude': -74.0035496218187}",655,4.5,10011
AWjuFw0wn1ozYTp50-H_UQ,Millie's Cuban Cafe,151 Wilson Ave,"{'latitude': 40.7005231, 'longitude': -73.9248911}",75,4.5,11237
fhSV2h8d43dwMG65WD8uig,Sophies Cuban Cuisine,76 Fulton St,"{'latitude': 40.708967, 'longitude': -74.005521}",176,3.0,10038
VsqHs36uLxhqmjo60r1aJA,Habana To-Go,229 Elizabeth St,"{'latitude': 40.72292, 'longitude': -73.99418}",270,4.0,10012
1HoAYPCCKf7cPOegvASCpg,Havana Heights,4083 Broadway,"{'latitude': 40.84421, 'longitude': -73.93917}",28,4.0,10033
7zjeUx9aWRGpJmiOuk45zw,The Cuban Restaurant and Bar,333 Washington St,"{'latitude': 40.74099, 'longitude': -74.02945}",1006,4.0,07030
H1jops1lmuhrq9lP7lEGJQ,Flor De Mayo,484 Amsterdam Ave,"{'latitude': 40.78609, 'longitude': -73.97658}",1188,4.0,10024
YmAPpKeMuly7IIjpYcFhHw,Zona De Cuba,558 Grand Concourse,"{'latitude': 40.8188782, 'longitude': -73.9265215}",471,3.5,10451
SyBFnqsPEge00N0_bHs2fQ,Madera Cuban Grill & Steakhouse,47-29 Vernon Blvd,"{'latitude': 40.744598, 'longitude': -73.953336}",418,3.5,11101
6E1FMOKa4NvVEIo3ftT7bA,Cortadito Cuban Cuisine,210 E 3rd St,"{'latitude': 40.722483112365, 'longitude': -73.982784589542}",892,3.0,10009
efxcTuq9Web2AWehfmYMQw,Tina's Cuban Cuisine,23 W 56th St,"{'latitude': 40.76306, 'longitude': -73.9757}",590,4.0,10019
KzEWelsUm5zumC7s2RW1xA,Sophie's Cuban Cuisine,27 Smith St,"{'latitude': 40.69062, 'longitude': -73.98747}",145,3.5,11201
dDmK_8LTgjcje8iuP6AMGA,Sophie's Cuban Cuisine,21 W 45th St,"{'latitude': 40.75605, 'longitude': -73.98041}",441,3.5,10036
LQHegfNHe7ylY3bocrFlpg,Calle Dao - Bryant Park,38 W 39th St,"{'latitude': 40.7522888979927, 'longitude': -73.9841403450024}",1766,4.0,10018
JTwUl0mo7t97CbbmjZ8WIQ,Guantanamera,110-80 Queens Blvd,"{'latitude': 40.718603, 'longitude': -73.838617}",135,3.5,11375
AgAkUVLN_axMY-bzbNCfCw,Yuca Bar,111 Avenue A,"{'latitude': 40.7262, 'longitude': -73.9836}",1806,4.0,10009
Ludz8x0jwOc7tdflk7f0GA,Sophie's Cuban Cuisine,401 E 68th St,"{'latitude': 40.765559, 'longitude': -73.957411}",180,3.0,10065
8QnDeEDw4PUTxjsfflrrwg,La Isla Restaurant,104 Washington St,"{'latitude': 40.7377289, 'longitude': -74.0309783}",881,4.0,07030
kgXNbPJcumyJ8LS83Hez8g,Sophie's Cuban Cuisine,73 New St,"{'latitude': 40.7056891, 'longitude': -74.0124735}",418,3.5,10004
R1mLakJBtmK-KETUuLaGaA,Rumba Cubana,235 Pavonia Ave,"{'latitude': 40.72748, 'longitude': -74.043858}",309,4.5,07302
31XD1NbLOoZ-cclsfdf97Q,El Nuevo Cibao,172 Smith St,"{'latitude': 40.68584, 'longitude': -73.99121}",176,4.0,11201
_L5UsFTdaS55So7TbupSRw,The Cuban,987 Stewart Ave,"{'latitude': 40.73586, 'longitude': -73.59786}",534,3.5,11530
4axlhxyN2bKuRWfnY2IhuQ,Tabaré,221 S 1st St,"{'latitude': 40.713046, 'longitude': -73.958968}",646,4.0,11211
ucmwboeLLt12_8fg1ulquw,La Casa,54 Newark St,"{'latitude': 40.73689, 'longitude': -74.0301}",212,4.5,07030
B87c3bE_u53yNYO1cmHSIw,Flor de Mayo,2651 Broadway,"{'latitude': 40.797859, 'longitude': -73.969948}",579,4.0,10025
LvzN8TrUGJRj_UkJV0cAtQ,Empanada Mama - Hell's Kitchen,765 9th Ave,"{'latitude': 40.76441, 'longitude': -73.9885}",2489,4.0,10019
2f-qNpdVJl2h9L6SHYuICA,Havana Cafe,3151 E Tremont Ave,"{'latitude': 40.8379, 'longitude': -73.83437}",823,4.0,10461
2L20kuwaYbxza7EHbDuIYA,Tina's Cuban Cuisine,179 Madison Ave,"{'latitude': 40.74738, 'longitude': -73.98288}",289,3.5,10016
rrDbftiFA6Pnl69FciCHHw,Gusto Latino,583 Driggs Ave,"{'latitude': 40.71618, 'longitude': -73.95719}",23,4.5,11211
kXnwXZ5KOQmprxNrmXYuxg,Puerto Viejo,564 Grand Ave,"{'latitude': 40.67885, 'longitude': -73.96214}",470,4.0,11238
LeF5JrQrqXlVCYVfmev9Yw,Rumba Cubana,1807 45th St,"{'latitude': 40.78407, 'longitude': -74.03364}",472,4.0,07047
JamSV3KHacnssRP5IfUD1w,Sophie's Cuban Cuisine,1015 6th Ave,"{'latitude': 40.75226, 'longitude': -73.98631}",84,3.0,10018
5qwk0BNZnm6jmq-M0kP3_Q,El Floridita,4162 Broadway,"{'latitude': 40.8471171674521, 'longitude': -73.9378327131271}",115,3.5,10033
96svxj2NIOrba2fBMZAqOQ,Bogota Latin Bistro,141 5th Ave,"{'latitude': 40.678165, 'longitude': -73.978976}",2234,4.0,11217
3hCi3e-Ea62tdSdcdioR1g,El Rinconcito,408 E 10th St,"{'latitude': 40.72553, 'longitude': -73.977}",78,4.5,10009
c-YVhXvBBvAGkss9Y3sTbA,Pilar Cuban Bakery,397 Greene Ave,"{'latitude': 40.68808, 'longitude': -73.9551}",20,4.0,11216
co7xTKlReWfp-f5HbEeK0w,Latin Cabana,34-15 Steinway St,"{'latitude': 40.7561773, 'longitude': -73.9211097}",266,3.5,11101
VISwpz_sdcgN04k1SuC0yw,Sophie's Cuban Cuisine,369 Lexington Ave,"{'latitude': 40.7504731, 'longitude': -73.9767061}",307,3.5,10017
-xeLK9VppWFh6AtP26Hxpg,Los Papi's,77 Bridge St,"{'latitude': 40.7021, 'longitude': -73.98444}",75,4.5,11201
4fKYXE90bvuAyY_DvC2LOg,La Isla Restaurant - Uptown,25 12th St,"{'latitude': 40.7507544, 'longitude': -74.0252864}",329,3.5,07030
bVoMSENCVORvxeEVwkh7AA,Rumba Cubana - Guttenberg,6909 Jfk Blvd E,"{'latitude': 40.79129, 'longitude': -74.000901}",570,4.0,07093
o_r0-1tGDoP_HyEONWKqCw,Mojo Restaurant,70-20 Austin St,"{'latitude': 40.720588, 'longitude': -73.8464128}",300,4.0,11375
NnP8swq9QN0JZiDLoNMSGQ,Jennifer's Cafe,67 1st Ave,"{'latitude': 40.725418, 'longitude': -73.987304}",29,4.0,10003
SSw0GFDGE1BGM5scP8PpDg,Casa Cubana Catering,1007 Summit Ave,"{'latitude': 40.74886, 'longitude': -74.05077}",8,5.0,07307
RThvexVhZQ8KA6JAr0UkCQ,Casa Adela,66 Ave C,"{'latitude': 40.72264, 'longitude': -73.97973}",466,4.0,10009
hw8ziubXsFocun6KR04VVg,Malecon Restaurant,4141 Broadway,"{'latitude': 40.84651, 'longitude': -73.93882}",711,4.0,10033
G65jVYSAYE-74TCcnU2n8A,El Nuevo Portal,217 Smith St,"{'latitude': 40.6844032, 'longitude': -73.9918238}",135,4.0,11201
hgsodKhYFrzhZX5-DLc8QA,Son Cubano,40-4 Riverwalk Pl,"{'latitude': 40.7814025762396, 'longitude': -74.005708694458}",1040,3.0,07093
1HPdyg0OLRkjHeixVmbu0Q,Cocina Del Sur,40 W 38th St,"{'latitude': 40.7515296936035, 'longitude': -73.9846572875977}",122,4.0,10018
BmVH2X6mw8-zyq567Vcx7A,Chango Kitchen,301 Willow Ave,"{'latitude': 40.74069, 'longitude': -74.03351}",49,4.5,07030
YigPOZxASGQX1IniEyCp8g,La Dinastia,145 W 72nd St,"{'latitude': 40.77833, 'longitude': -73.98022}",158,3.5,10023
Pn_KLz8cue1P0AWQgFw1Zg,Gena's Grill,210 1st Ave,"{'latitude': 40.730327, 'longitude': -73.982955}",192,4.0,10009
iNA1ljXvsX8R11NuY6GSMw,Rumba's Cafe,513 Central Ave,"{'latitude': 40.75218, 'longitude': -74.04531}",303,4.5,07307
OwV-MtDBC2H08rVcBqP2mA,Pio Pio 8,604 10th Ave,"{'latitude': 40.760506289326, 'longitude': -73.994564488901}",2345,4.0,10036
ZIHgJKinZaspHzrqGVZyfQ,Hard Grove Restaurant,284 First St,"{'latitude': 40.72224, 'longitude': -74.046718}",113,3.5,07302
17tSQ4G1R2U63ahAcl3j9w,Sophie's Cuban Cuisine,947 8th Ave,"{'latitude': 40.76602, 'longitude': -73.98362}",78,3.5,10019
BEnhDZrulF_-2Fl-nleWag,La Cabana,39-17 103rd St,"{'latitude': 40.7503, 'longitude': -73.86262}",166,4.5,11368
BgueHXOeFcOHGT8jwBkEYw,The Freakin Rican Restaurant,4306 34th Av,"{'latitude': 40.7553327813777, 'longitude': -73.9182442054152}",222,4.5,11101
wsStPchQUOylE1qm8r2vdg,Casual Habana Cafe,200 Main St,"{'latitude': 40.9456706235139, 'longitude': -74.0199907219159}",461,4.5,07646
SRLrnScmDyJpS28wvWeJNQ,El Cocotero,228 W 18th St,"{'latitude': 40.74149, 'longitude': -73.99937}",533,4.0,10011
DHUeIHJjW3iQsZ4rTd54fg,The Empanada Spot Williamsburg,346 Graham Ave,"{'latitude': 40.7147216251, 'longitude': -73.9442456103}",10,4.0,11211
PGpCaNkB1meojnbgRmb2gQ,Buena Vista Restaurant & Bar,536 9th Ave,"{'latitude': 40.75686, 'longitude': -73.99356}",195,4.5,10018
4-kYGYagcUzQkZuih8v-SA,El Artesano Restaurant,4101 Bergenline Ave,"{'latitude': 40.777122, 'longitude': -74.025535}",202,4.5,07087
McJlk6ywvzcolSd0YElROQ,Harlem's Floridita,2276 12th Ave,"{'latitude': 40.8180046081543, 'longitude': -73.9609680175781}",218,3.5,10027
BZcG-xN3DCxlfhckBZYeuw,Pio Pio 7,210 E 34th St,"{'latitude': 40.74534, 'longitude': -73.97761}",824,4.0,10016
h0qowxmqgwjKsh-fdkxvHw,Latin Social,75 Maiden Ln,"{'latitude': 40.70769, 'longitude': -74.00767}",51,3.5,10038
lQKnVAB9E4mhVlJc6sxwVQ,Havana's Cuban Cafe,824 River Rd,"{'latitude': 40.823548, 'longitude': -73.975923}",101,3.5,07020
ksksxd8J2SIs97ccPFV75A,Brown Sugar Restaurant,5060 Broadway,"{'latitude': 40.869926, 'longitude': -73.915466}",233,3.5,10034
5BQc3GZZwxY-2rnD6KS5ZA,Las Cubanitas Bake Shop,3704 Bergenline Ave,"{'latitude': 40.774820074439, 'longitude': -74.0270704776049}",32,4.5,07087
rdBXvbb8GVRKP13-yKfYcg,Sabor Cubano,5114 Hudson Ave,"{'latitude': 40.782135, 'longitude': -74.01625}",4,4.5,07093
AEkpyAGcVe5NgH2Nb7fCNQ,Nuevo Jardin De China Restaurant,3205 Broadway,"{'latitude': 40.7615513755699, 'longitude': -73.9243148820204}",213,3.5,11106
1slRbWWMRkQahpuVOOfSWw,Havana Central,630 Old Country Rd,"{'latitude': 40.739086428695, 'longitude': -73.6147339829}",1612,4.0,11530
XSnTuDnpKNETNolAHSNbhw,Rumba Cubana,2 South Pkwy,"{'latitude': 40.835564, 'longitude': -74.125027}",328,4.0,07014
Rzy-FeiJGYS0pA6HnjYv3A,Empanada Loca,606 5th Ave,"{'latitude': 40.663927, 'longitude': -73.990969}",243,4.0,11215
W7MJiJZ9-R-txtvVbLQnCw,La Churreria,3300 Bergenline Ave,"{'latitude': 40.7728473097086, 'longitude': -74.0286241471767}",48,4.0,07087
xBTqo83cgF4TvCjKFjlwqQ,La Dinastia II,4059 Broadway,"{'latitude': 40.8431911, 'longitude': -73.9393521}",65,3.5,10032
MNNpsRXe7Wt5m3Jla9Wk0w,The Alcove,41-11 49th St,"{'latitude': 40.7459065, 'longitude': -73.915103}",889,5.0,11104
zMHbkyLR1eKgMhP730GhuA,El Cofre,454 Myrtle Ave,"{'latitude': 40.6930809020996, 'longitude': -73.9673004150391}",57,3.0,11205
NwyhMWu6zsN4tBZQ2Fz-9A,La Havana 59,110 Moonachie Ave,"{'latitude': 40.8383708013101, 'longitude': -74.063100494674}",289,3.0,07074
q6FcRtW3ZoQ-hynSCSa8Ig,Arepera Guacuco Bushwick,44 Irving Ave,"{'latitude': 40.704667, 'longitude': -73.924583}",536,4.0,11237
mcviVVgOj4jSzmyhQeEY5Q,Isla Bonita,6023 Park Ave,"{'latitude': 40.7863402316117, 'longitude': -74.0088099986315}",85,4.0,07093
wTCR-EUTLX4UoPUPdxWVJg,Blend,4704 Vernon Blvd,"{'latitude': 40.7454187160279, 'longitude': -73.9533804030555}",861,4.0,11101
34TJL5wmOMi48Lc2AeNoKQ,La Bella Havana,35 Main St,"{'latitude': 40.9346699, 'longitude': -73.89991}",240,3.5,10701
5Lrp0TmGtrBgaokuhXjnng,El Viejo Yayo,36 5th Ave,"{'latitude': 40.68198, 'longitude': -73.97686}",18,3.0,11217
uXX8zSt6gX1bXv7WZTQceQ,Mojitos Restaurant Bar,81-01 Northern Blvd,"{'latitude': 40.7557368, 'longitude': -73.8862253}",38,4.0,11372
154ILTDY2x4liySxKmO4cw,Zoralie Restaurant,449 W 51st St,"{'latitude': 40.7649401427866, 'longitude': -73.9902253076434}",255,4.0,10019
VRu9zrlgoKcTitLzOg1sZg,Jennifer's Restaurant,15341 Hillside Ave,"{'latitude': 40.7077378947068, 'longitude': -73.8029659253311}",77,4.0,11432
QZgPeT9JGGvNgSr9i4m29Q,KUBA RESTAURANT,2139 Hudson Ter,"{'latitude': 40.85492, 'longitude': -73.96347}",62,4.0,07024
jKaR8TTkLBAFmMIsKU786g,Pio Pio 3,1746 First Ave,"{'latitude': 40.77959, 'longitude': -73.947}",765,4.0,10128
1Cqn-ISALp1zTcb8Y4W14g,Ruben's Empanadas,77 Pearl St,"{'latitude': 40.704044, 'longitude': -74.01049}",89,3.0,10004
J6EsXebZbacSOoIjpQRocQ,Baby Brasa,173 7th Ave S,"{'latitude': 40.735981, 'longitude': -74.0012344}",598,3.5,10014
Qj5Wvq6jufSFgJd4dDb_Sg,Cafe Nunez,240 W 35th St,"{'latitude': 40.752133, 'longitude': -73.991849}",474,3.0,10001
qf_AE2XEHzFsdLzZzRPHww,Areppas,954 3rd Ave,"{'latitude': 40.76052, 'longitude': -73.96756}",179,3.5,10022
cFJ8bl5OfTDWSCn3yvi-KQ,Corazon de Cuba,26 E Park Ave,"{'latitude': 40.58813, 'longitude': -73.66298}",275,3.5,11561
B73kcWdUixrovBU2JXjoZA,El Gran Canario,174 Borinquen Pl,"{'latitude': 40.7105573761851, 'longitude': -73.9538214151183}",44,4.0,11211
cw48jFQTYxfEFcVF2yNXTw,El Chevere,2000 3rd Ave,"{'latitude': 40.79409, 'longitude': -73.94307}",25,4.0,10029
dqJsAPlCaS1105HC1lWRyQ,Sazon Perez,417 S 4th St,"{'latitude': 40.70767, 'longitude': -73.95105}",43,4.0,11211
3km5RrRp0sr0axrcL_lb-w,Matiz Latin Cuisine,11072 Queens Blvd,"{'latitude': 40.7189054, 'longitude': -73.8390773}",311,4.0,11375
U1rA6SLeS_jMwqm1Vo0yaQ,El Gran Castillo De Jagua,355 Flatbush Ave,"{'latitude': 40.676993, 'longitude': -73.971981}",251,4.0,11238
aOmZo7hEMRZAq5ITGSFf5Q,El Nuevo Tina,511 W 125th St,"{'latitude': 40.8140289773263, 'longitude': -73.9563959464431}",52,3.5,10027
byPwK4axqJBcRC0y3ty0kQ,El Cubanito's Cafe,866 Kearny Ave,"{'latitude': 40.781472, 'longitude': -74.1385637}",87,3.5,07032
YcfkmckqcAdyYjNHDn122w,Kalina Bar & Grill,1476 Broadway,"{'latitude': 40.687221, 'longitude': -73.918548}",32,4.0,11221
azOGJ8gBsP4RF2zOJTSwDg,Blend Astoria,37-17 30th Ave,"{'latitude': 40.764477, 'longitude': -73.9157809}",659,3.5,11103
wSlGpwSIecbqy1KRSO_YVg,El Castillo De Jagua,113 Rivington St,"{'latitude': 40.71977, 'longitude': -73.98787}",249,3.5,10002
FeBeg_ju5aju89U20QPsFw,La Pola Restaurant,5400 Palisade Ave,"{'latitude': 40.784286, 'longitude': -74.016761}",79,4.0,07093
