Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
ETgJqJHV7BW6pIr9Ox74sA,Amélie,22 W 8th St,"{'latitude': 40.7327, 'longitude': -73.99766}",2688,4.5,10011
FiRB9Ek3Xo9JHwXgBYITYg,La Sirène-Soho,558 Broome St,"{'latitude': 40.7243642217227, 'longitude': -74.005708694458}",1603,4.5,10013
t-ODuKsmRseJoTEVKQzsdg,Pates Et Traditions,52 Havemeyer St,"{'latitude': 40.714885, 'longitude': -73.954698}",841,4.5,11211
csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,163 East 33rd St,"{'latitude': 40.7454079308793, 'longitude': -73.9791478306885}",973,4.0,10016
fAPkN79fe7Gjq7A6fj6s9Q,Bistro Eloise,75-57 31st Ave,"{'latitude': 40.7587335, 'longitude': -73.8920429}",159,4.5,11370
xQ445GaWVN5Aa3sFX9OoIg,Buvette,42 Grove St,"{'latitude': 40.732704, 'longitude': -74.004317}",1747,4.0,10014
kmcgUxWhwlbmC-FAMTEF2g,Café D'Alsace,1695 2nd Ave,"{'latitude': 40.77916, 'longitude': -73.95104}",1212,4.0,10128
9pI_G9xGiTY4YCcfe9eoPA,French Louie,320 Atlantic Ave,"{'latitude': 40.6879459, 'longitude': -73.988257}",383,4.0,11201
iexl39DYyy_76Xq3ExaJkQ,Excuse My French,96 Orchard St,"{'latitude': 40.71844, 'longitude': -73.98981}",289,4.5,10002
kHeakps7Gj8EaImiOYaX8g,Le French Diner,188 Orchard St,"{'latitude': 40.7218274586187, 'longitude': -73.9879689992204}",119,4.5,10002
mv8dMMzzrzalso3sYCP_QA,CAFÉ LULUc,214 Smith St,"{'latitude': 40.68451, 'longitude': -73.99225}",1418,4.0,11201
KgpOYAG-r_eDsQXFXt0nnQ,Balthazar,80 Spring St,"{'latitude': 40.7226892950401, 'longitude': -73.9982149184027}",3092,4.0,10012
flcy6dNr4s12PTv6VtBK9Q,LĒNA,137 Eldridge St,"{'latitude': 40.719135, 'longitude': -73.991758}",148,4.5,10002
s3jou_L_LVYGkNHiuhjlew,Boucherie West Village,99 7th Ave S,"{'latitude': 40.733063, 'longitude': -74.0028772}",1501,4.5,10014
gtXP0CmOnBbgfnff7VXa7A,Pastis,52 Gansevoort St,"{'latitude': 40.73928, 'longitude': -74.00695}",195,4.0,10014
qWGFjZJ2wJeDzt1QH7t5Xg,Aperitif Bistro Bayside,213-41 39th Ave,"{'latitude': 40.7655165, 'longitude': -73.7716246}",451,4.0,11361
WoZnkXZInggzgQM_LbDpGg,Le Baratin,26 Greenwich Ave,"{'latitude': 40.735025, 'longitude': -73.999857}",213,4.0,10011
EF4M55USa1ZNy1rP5Kuk2w,Chez Moi,135 Atlantic Ave,"{'latitude': 40.6907305802403, 'longitude': -73.99551244328}",380,4.0,11201
mxDfu4bHwSXoCr3FRpyMsw,L'Antagoniste,238 Malcolm X Blvd,"{'latitude': 40.68501, 'longitude': -73.92961}",271,4.5,11221
LF2_slTY37P0Ua8vI4Hr5g,Bistro Les Amis,180 Spring St,"{'latitude': 40.724678, 'longitude': -74.002624}",378,4.0,10012
xTnivXEdEtXrnhp-z4JGvg,La Parisienne,9 Maiden Ln,"{'latitude': 40.70961, 'longitude': -74.0093799}",492,4.5,10038
8XHbZIKDQbXhyKIGiukVeQ,Boucherie Union Square,225 Park Ave S,"{'latitude': 40.73715, 'longitude': -73.98789}",813,4.5,10003
p6-X_mg5ETcUuV-X4RkPCg,Citroën,931 Manhattan Ave,"{'latitude': 40.7312, 'longitude': -73.95459}",49,4.5,11222
uVo8WHNQo3iU0dhoUKM0kw,Le P'tit Paris Bistro,256 Prospect Park W,"{'latitude': 40.659, 'longitude': -73.98173}",358,4.0,11215
cJREPXNhyznkLrKhjg9hoA,Tournesol,5012 Vernon Blvd,"{'latitude': 40.74239, 'longitude': -73.95451}",418,4.0,11101
t2h_VDI6kw7c1uHvyV-Grw,Brasserie Saint Marc,136 2nd Ave,"{'latitude': 40.7286485, 'longitude': -73.98720783}",52,4.5,10003
obFs12x7mgYPGxgalBd22w,Le Coucou,138 Lafayette St,"{'latitude': 40.71909, 'longitude': -74.00013}",569,4.0,10013
vRrVSB-LegwUwIxpkeRVtQ,Le Bernardin,155 W 51st St,"{'latitude': 40.761557, 'longitude': -73.981763}",2543,4.5,10019
FZh1ZBFrb46tkRdZuMA7hQ,Troquet,155 Grand St,"{'latitude': 40.7200024863923, 'longitude': -73.9990466250079}",168,4.0,10013
UJe9_p6NEl0kA6xHVo5PKw,Amelie,566 Amsterdam Ave,"{'latitude': 40.78875, 'longitude': -73.97464}",205,4.5,10024
IVjpsmmsgc42k9K2RZR3Qg,Le Fond,105 Norman Ave,"{'latitude': 40.7258415222168, 'longitude': -73.9511032104492}",147,4.5,11222
0Q13lJ3OHXOuBVpN6jeTjw,Tartine,253 W 11th St,"{'latitude': 40.7362899, 'longitude': -74.00344}",988,4.0,10014
NMVRHrkdp68twl4CWo1I5A,Marseille,630 9th Ave,"{'latitude': 40.759806, 'longitude': -73.991378}",906,4.0,10036
