Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,58 W 56th St,"{'latitude': 40.763167, 'longitude': -73.977131}",1929,4.5,10019
BXoW0AUDE7WZJcY-Vhqlbg,Indian Table,234 Court St,"{'latitude': 40.6859591, 'longitude': -73.9941661}",115,4.5,11201
sCC7-hSdCkNPExejZT9BAQ,The MasalaWala,179 Essex St,"{'latitude': 40.72191, 'longitude': -73.98666}",1488,4.5,10002
MtZaEGCm6zdAV8W4TWlerQ,Masti Indian Grill & Chatt Bar,184 Havemeyer St,"{'latitude': 40.710625, 'longitude': -73.9583}",35,4.5,11211
lnI9toC-uAhBIbtHDMxvcA,Indika House,943 Broadway,"{'latitude': 40.69716, 'longitude': -73.9353}",62,5.0,11206
zGa3GrjdAQLm2l40SPD8CA,Garam Masala,1819 Palmetto St,"{'latitude': 40.703375, 'longitude': -73.90747}",73,4.5,11385
YDtIHtfvWd4W36wq6UAjoA,Kitchen Grill Indian Restaurant,914A Fulton St,"{'latitude': 40.6827929, 'longitude': -73.9644377}",259,4.5,11238
lIE4KHySIenwPbta1JuM8Q,Mumbai Masala,1768 Amsterdam Ave,"{'latitude': 40.82695, 'longitude': -73.94676}",214,4.5,10031
7DUPGtHqVZHJ3yIufbWLsg,Malai Marke Indian Cuisine,318 E 6th St,"{'latitude': 40.726934, 'longitude': -73.98758}",564,4.0,10003
WWpOWqOgS9ClYvxYVzR0lg,Tikka Indian Grill,185 Grand St,"{'latitude': 40.71441, 'longitude': -73.96078}",335,4.0,11211
_z2_1TE_1brlvljiGtJ4mA,Aahar Indian Cuisine,10 Murray St,"{'latitude': 40.71334, 'longitude': -74.0081}",318,4.5,10007
ZqOxAKVZEZTa4XS4zthp3Q,Bombay Grill,1176 Bedford Ave,"{'latitude': 40.6839, 'longitude': -73.9541799}",196,4.5,11216
1_pK5aQ47atF50oAKHADhA,Indian Accent,123 W 56th St,"{'latitude': 40.7643344624229, 'longitude': -73.9787312885132}",581,4.5,10019
rpzgv0Y6fIT6RcBsxFsrSg,Paratha Wala,103-09 Metropolitan Ave,"{'latitude': 40.71044, 'longitude': -73.84942}",130,5.0,11375
_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,6 Clinton St,"{'latitude': 40.7210905, 'longitude': -73.9840446}",369,4.5,10002
Z_fT0KLZV3y80LHUMlmbig,Khiladi NYC,175 Avenue B,"{'latitude': 40.727536, 'longitude': -73.97926}",97,4.5,10009
iXSuNKKUBIrBX7zUerlQDQ,Benares,45 Murray St,"{'latitude': 40.71415, 'longitude': -74.009209}",525,4.0,10007
