Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
Vs8kQ4R381y27AH018gLpg,Supper,156 E 2nd St,"{'latitude': 40.7229, 'longitude': -73.98527}",1301,4.0,10009
WG639VkTjmK5dzydd1BBJA,Rubirosa,235 Mulberry St,"{'latitude': 40.722766, 'longitude': -73.996233}",2271,4.5,10012
qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,196 Spring St,"{'latitude': 40.72506, 'longitude': -74.00322}",564,4.5,10012
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,228 W 10th St,"{'latitude': 40.73372, 'longitude': -74.00513}",1852,4.5,10014
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,254 West 47th St,"{'latitude': 40.75998, 'longitude': -73.98671}",2345,4.0,10036
4zw8vEJNc4mcHh2ARzj2gw,Osteria Brooklyn,458 Myrtle Ave,"{'latitude': 40.693154, 'longitude': -73.967177}",26,4.5,11205
dh5r9-SbN8xJ76XvnayWLQ,Giano Restaurant,126 E 7th St,"{'latitude': 40.7262256596862, 'longitude': -73.9840574049125}",601,4.5,10009
yZJbealagfujEkgesAl2hA,Lupa,170 Thompson St,"{'latitude': 40.7276, 'longitude': -74.000045}",1539,4.0,10012
IErfGS0DASSJfYU73m0Sqg,Malatesta Trattoria,649 Washington St,"{'latitude': 40.73285, 'longitude': -74.00847}",1245,4.0,10014
J0OeDwmh5JBhid0A5GvltA,Il Corallo Trattoria,176 Prince St,"{'latitude': 40.7262073, 'longitude': -74.0018919}",964,4.0,10012
qgY41g_eg0eNzewCXmKcaA,Lillo Cucina Italiana,331 Henry St,"{'latitude': 40.69023, 'longitude': -73.99634}",141,5.0,11201
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,35 W 13th St,"{'latitude': 40.736218, 'longitude': -73.99597}",775,4.0,10011
a4WZUTKn90dOkeY38JHNjQ,Aurora,70 Grand St,"{'latitude': 40.715621, 'longitude': -73.964757}",634,4.0,11249
OAqsZMbjv66nOMqlimnYuQ,Uva,1486 2nd Ave,"{'latitude': 40.7722, 'longitude': -73.95566}",2395,4.0,10075
74zaTegd7fnS6llTesn_Dg,Fragole Ristorante,394 Court St,"{'latitude': 40.68087, 'longitude': -73.99688}",347,4.0,11231
kr5fRwdHtVwPPwSJxm9Fkg,Il Posto Accanto,190 E 2nd St,"{'latitude': 40.72238, 'longitude': -73.98403}",223,4.5,10009
HodL0fXoF08C3Ir-kLeTtw,Forma Pasta Factory,14 Bedford Ave,"{'latitude': 40.72371, 'longitude': -73.95157}",210,4.5,11222
nHMDOIX32dGbfpuNUwsLNQ,AlMar,111 Front St,"{'latitude': 40.702662, 'longitude': -73.989177}",442,4.0,11201
OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,136 Mulberry St,"{'latitude': 40.718554, 'longitude': -73.997447}",952,4.0,10013
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,200 W 44th St,"{'latitude': 40.7574955824307, 'longitude': -73.9866844540098}",3780,4.0,10036
zwOAiVT4pAmpNGXzj-t5MA,Lilia,567 Union Ave,"{'latitude': 40.71757, 'longitude': -73.95236}",822,4.0,11211
ry0nAQiUn8bpNAruY_5wfw,Scalino,659 Manhattan Ave,"{'latitude': 40.7244699, 'longitude': -73.95151}",252,4.5,11222
xeC9vn3dxVVzAMR_aFwfXg,IL Brigante,214 Front St,"{'latitude': 40.707492, 'longitude': -74.002571}",408,4.0,10038
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,147 W 43rd St,"{'latitude': 40.75641, 'longitude': -73.98547}",2097,4.0,10036
tJxAlyeT5PRbUIyJ2wsv-A,Bamonte's,32 Withers St,"{'latitude': 40.716579, 'longitude': -73.951174}",348,4.0,11211
mTWlEiCUEBlxBAkIikkB1A,Carmine's Italian Restaurant - Upper West Side,2450 Broadway,"{'latitude': 40.791077, 'longitude': -73.973763}",1378,4.0,10024
vyoA8dxwScuMV_AsTcjQcg,L & B Spumoni Gardens,2725 86th St,"{'latitude': 40.594715, 'longitude': -73.981316}",3844,4.0,11223
f8ipr8Wdy1_wHhw7JgNqPQ,Da Claudio,21 Ann St,"{'latitude': 40.71087, 'longitude': -74.00753}",481,4.5,10038
15k7iqFbhf4h8L01yggLqg,Song E Napule,146 W Houston St,"{'latitude': 40.72813, 'longitude': -74.00188}",492,4.5,10012
rJJiGJx3kfMAxtD7P7okHQ,Celeste Restaurant,502 Amsterdam Ave,"{'latitude': 40.78666, 'longitude': -73.97599}",901,3.5,10024
V-FCEicobl5Su-R7EVJQNA,La Lanterna Di Vittorio,129 MacDougal St,"{'latitude': 40.73069, 'longitude': -74.00015}",1456,4.0,10012
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,370 W 51st St,"{'latitude': 40.7637997047278, 'longitude': -73.9880919456482}",840,4.0,10019
ZfyfGGtr7usMlsQP1LdU2g,Ornella Trattoria Italiana,29-17 23rd Ave,"{'latitude': 40.7748162, 'longitude': -73.9132582}",919,4.0,11105
LfRiA6RORToZUSJUHkZBVA,Frankies 457 Spuntino,457 Court St,"{'latitude': 40.677328, 'longitude': -73.997972}",822,4.0,11231
hpRrYBbKUqv8ewFKDjbjoA,Gersi,316 Court St,"{'latitude': 40.683438, 'longitude': -73.995711}",275,4.5,11231
ZTsN8TdMXl8SW_AKd_ablw,Forno Rosso,327 Gold St,"{'latitude': 40.694467, 'longitude': -73.98293}",680,4.5,11201
16ZnHpuaaBt92XWeJHCC5A,Olio e Piú,3 Greenwich Ave,"{'latitude': 40.733826, 'longitude': -73.999852}",2285,4.5,10014
twHJyFgUSd7wzioKQjE7Jw,Galli,45 Mercer St,"{'latitude': 40.72161, 'longitude': -74.00127}",944,4.0,10013
4wDWxcGMJEgriP-6ObJsqg,Jose Luis Mediterranean Cuisine,186 Ave B,"{'latitude': 40.727861, 'longitude': -73.979339}",17,5.0,10009
RXCCofQw1EjTcSN0ZeXfRA,Risotteria Melotti NYC,309 E 5th St,"{'latitude': 40.726673363853, 'longitude': -73.9880919456482}",320,4.5,10003
_N92SH1Zi-Hbxn_bNHFz0Q,Noodle Pudding,38 Henry St,"{'latitude': 40.69979, 'longitude': -73.99203}",563,4.0,11201
b42PcC1nCP602fiXF0a9Xg,Barbalu Restaurant,225-227 Front St,"{'latitude': 40.7074747, 'longitude': -74.0020404}",292,4.0,10038
TWH4MjLtN1fKlF-7n6YXHg,Lil Frankie's,19 1st Ave,"{'latitude': 40.723625, 'longitude': -73.988555}",1131,4.0,10003
OwDRIugcA4LkUuTRqpJsog,Naked Dog,47 Java St,"{'latitude': 40.7312720665479, 'longitude': -73.9593493647979}",228,4.5,11222
9K0run3oObR0YT4jaOEvWg,L'Angeletto,327 2nd Ave,"{'latitude': 40.73541417, 'longitude': -73.982956}",28,5.0,10003
Z67mgMkN3RfdPEX5mXsyYA,Piacere,351 Broome St,"{'latitude': 40.7196979, 'longitude': -73.9951175}",672,4.0,10013
bdKc4CSJPv-XLgxVwrtPrg,Forlini's Restaurant,93 Baxter St,"{'latitude': 40.71695, 'longitude': -73.99957}",446,4.5,10013
7_hGsGEkHrjgAiYVjrCFnw,Carbone,181 Thompson St,"{'latitude': 40.728, 'longitude': -74.0001497}",1065,4.0,10012
zo4JHfD2nWPUiqgsgDOaHQ,Rao's,455 E 114th St,"{'latitude': 40.79392, 'longitude': -73.93427}",171,4.0,10029
lwfCl81r5a0mjxDNxNGC9w,Il Buco,47 Bond St,"{'latitude': 40.72583, 'longitude': -73.99299}",680,4.0,10012
mtmEa4vFYa764G97sqQ9dQ,Sapori D'Italia,105 Mulberry St,"{'latitude': 40.71735, 'longitude': -73.99855}",272,4.5,10013
DI_FoHY84hfzTWwlzF76aw,Benito One,174 Mulberry St,"{'latitude': 40.7200188460948, 'longitude': -73.9969412164592}",718,4.0,10013
-Gc5sTFxoXM3Tiv_dkSJZg,Cecconi's Dumbo,55 Water St,"{'latitude': 40.7033063330116, 'longitude': -73.9916549604523}",717,3.5,11201
XHhRAKq6DArQXYhkgvwaow,Spaghetti Incident,231 Eldridge St,"{'latitude': 40.7223153441439, 'longitude': -73.9899454318763}",594,4.0,10002
h37t9rA06Sr4EetJjKrfzw,Don Angie,103 Greenwich Ave,"{'latitude': 40.73778, 'longitude': -74.00197}",347,4.5,10014
JyXn_GCGM2DsNYIzgzQrDw,Da Gennaro,129 Mulberry St,"{'latitude': 40.71832, 'longitude': -73.99794}",1025,4.0,10013
XfOa_KyrV7JSFJMOKckGMg,Monte's Trattoria,97 Macdougal St,"{'latitude': 40.72959, 'longitude': -74.0011}",354,4.0,10012
mlm40NxsVJUPnh3LTayaaw,Kimika,40 Kenmare St,"{'latitude': 40.720572, 'longitude': -73.995206}",60,4.5,10012
M4pCWzdBCkp2g_d834a7Hw,Sauce,78 Rivington St,"{'latitude': 40.720512182453, 'longitude': -73.989400288419}",813,4.0,10002
MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,186 Grand St,"{'latitude': 40.7194089547259, 'longitude': -73.9973777877722}",956,4.5,10013
aJJlY5xvqS180wtRIHEWqA,Cotenna,21 Bedford St,"{'latitude': 40.72903, 'longitude': -74.00357}",402,4.0,10014
abZ-mEvF6Tj4hfyIg0lKwQ,Vite Vinosteria,31-05 34th St,"{'latitude': 40.7629734277725, 'longitude': -73.92119564116}",580,4.5,11106
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,88 Madison Ave,"{'latitude': 40.744509, 'longitude': -73.9856}",1921,4.0,10016
MeUq9lombxM9alxs64tejQ,Pepolino Restaurant,281 W Broadway,"{'latitude': 40.720756, 'longitude': -74.004885}",550,4.0,10013
Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,352 W 39th St,"{'latitude': 40.75619, 'longitude': -73.9937}",890,4.0,10018
eMSTTuOUlKEnSOr8lPp3Xg,Ammazzacaffè,702 Grand St,"{'latitude': 40.7113172, 'longitude': -73.9446243}",180,4.5,11211
a0IET3_yCFcO36OqGSsisg,Eataly Flatiron,200 5th Ave,"{'latitude': 40.74195877796, 'longitude': -73.989716662832}",5633,4.0,10010
skLDCHQcmivdGx5Qd_qBIA,Il Passatore,14 Bushwick Ave,"{'latitude': 40.71431, 'longitude': -73.94217}",371,4.0,11211
aSprnLY-6GkMk1cuv0TMeA,Al Di La Trattoria,248 5th Ave,"{'latitude': 40.675332643247, 'longitude': -73.981340475038}",895,4.0,11215
