Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
axqp3pGJXnTLgq2QrPyDyQ,Benemon,108 E 4th St,"{'latitude': 40.72551, 'longitude': -73.98838}",566,4.5,10003
7OMGEtFWT6sdd9TVuoGqJQ,Okonomi,150 Ainslie St,"{'latitude': 40.712622, 'longitude': -73.9487843}",460,4.5,11211
FlZ1zdVEKWv7dwqm8Uw8-w,Raku,342 E 6th St,"{'latitude': 40.7264988089246, 'longitude': -73.9866526052356}",1088,4.5,10003
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,53 W 35th St,"{'latitude': 40.750148, 'longitude': -73.9863203465939}",2320,4.0,10001
diz6_4TVSP6EdWEZCZ0Acg,Kaoru,306 E 46th St,"{'latitude': 40.75202, 'longitude': -73.96977}",357,4.5,10017
Vf9p_DGhBu6IW5EUyjODbg,Takumi Japanese Cuisine,114 Eldridge St,"{'latitude': 40.718136, 'longitude': -73.991744}",8,5.0,10002
i8F0fnempD5fTb2CxbwKDw,Izakaya,326 E 6th St,"{'latitude': 40.72667, 'longitude': -73.98738}",254,4.0,10003
7iY35991NhQ1AShJZCNZgA,Sakagura,211 E 43rd St,"{'latitude': 40.7516467024541, 'longitude': -73.9729489318165}",1777,4.0,10017
22CRLIEfJWIO-8RjEiecAg,Akino,82-80 Broadway,"{'latitude': 40.7411784, 'longitude': -73.8814239}",770,4.5,11373
ur679FKjXosJ1VnddICDiw,Don Wagyu,600 11th Ave,"{'latitude': 40.76234, 'longitude': -73.996759}",53,4.0,10036
i8ejDDR4COtukAAA1Ls5fw,Soba-ya,229 E 9th St,"{'latitude': 40.7296485900879, 'longitude': -73.9878845214844}",1471,4.0,10003
BPZfuPvSxCfoppU4lPFm0Q,DOMODOMO - New York,140 W Houston St,"{'latitude': 40.72803, 'longitude': -74.00167}",1127,4.0,10012
ONQRhDuWv0e9R5xOiI7YAA,Gyu-Kaku Japanese BBQ,321 W 44th St,"{'latitude': 40.75908, 'longitude': -73.98989}",1237,4.0,10036
7rxg-tWPc1jK7Cikn5R86g,Hi-Collar,231 E 9th St,"{'latitude': 40.729564, 'longitude': -73.98786}",596,4.0,10003
Zq1eGIz-7lw0001wX0CldA,Ramen Danbo,48 Carmine St,"{'latitude': 40.7299, 'longitude': -74.00347}",10,4.5,10014
kesYSgOJW5krU6L8n9qQ4Q,Ichibantei,401 E 13th St,"{'latitude': 40.73063, 'longitude': -73.98275}",218,4.0,10009
qEe7nIhPfEL6L0-VYhWRrA,Raku,48 Macdougal St,"{'latitude': 40.72728, 'longitude': -74.00252}",402,4.5,10012
HC18oDJ2svQoXIddP-wuyw,Wasan Brooklyn,440 Bergen St,"{'latitude': 40.6812605, 'longitude': -73.9768418}",214,4.0,11217
d8qCvlsG3jwxQPZc_OGogQ,Hibino,333 Henry St,"{'latitude': 40.69017, 'longitude': -73.99637}",400,4.0,11201
VzstANC68PM1BbyOcDXEtw,Donburiya,253 W 55th St,"{'latitude': 40.76528, 'longitude': -73.98326}",346,4.0,10019
FLKABU82NNDnCvZSZD75Bg,Naruto Ramen,2634 Broadway,"{'latitude': 40.7968567, 'longitude': -73.9698717}",251,4.0,10025
ax4INkzwL__-d_kGJfcA-w,Kaikagetsu NYC,162 Orchard St,"{'latitude': 40.72104, 'longitude': -73.98848}",77,4.5,10002
Uoic12Je-GLfRp3D3Klp5g,Umi No Ie,86 E 3rd St,"{'latitude': 40.724637, 'longitude': -73.988227}",154,4.0,10003
kN3rkbjvqkY62CDRYUVz4g,Yopparai,151 Rivington St,"{'latitude': 40.71919, 'longitude': -73.98571}",230,4.5,10002
HZWHBfeuP4Fb6y8b8uqnbA,Sushi Yasaka,251 W 72nd St,"{'latitude': 40.779583, 'longitude': -73.983482}",1770,4.0,10023
icZcEK39HXuL2q08i4EkkQ,Bessou,5 Bleecker St,"{'latitude': 40.725502, 'longitude': -73.992675}",270,4.0,10012
Ad3dUoLatOdNtB4LxfmmWg,Yakitori Taisho,5 St Marks Pl,"{'latitude': 40.729535, 'longitude': -73.9892642}",1578,3.5,10003
9QK3vhI04Q8ylqk49C3JcQ,Rule of Thirds,171 Banker St,"{'latitude': 40.7246328, 'longitude': -73.9551096}",31,4.0,11222
pGYovGGnxm0tMmkiQJPygA,Ume Williamsburg,237 Kent Ave,"{'latitude': 40.71657, 'longitude': -73.96559}",169,4.0,11249
f48yzy50jQDH7X5xFAluOw,Tsukimi,228 East 10th St,"{'latitude': 40.72908, 'longitude': -73.98541}",18,5.0,10003
YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,251 W 55th St,"{'latitude': 40.765375, 'longitude': -73.983114}",1314,4.0,10019
AnrLdpW6G-tXQ7xhBYiA5g,Azasu,49 Clinton St,"{'latitude': 40.719758, 'longitude': -73.985011}",123,4.0,10002
7Q68kpPS6okcC8Kkw7g42A,Sushi Lab Rooftop NYC,132 West 47th St,"{'latitude': 40.758417, 'longitude': -73.983301}",58,4.5,10036
t7BIiUN0tFg33kySuuQ0aQ,Masa,10 Columbus Cir,"{'latitude': 40.7678667, 'longitude': -73.9825734}",332,4.0,10019
dtk1Cstz5MHr-B1AOM_nXA,Gyu-Kaku Japanese BBQ,805 3rd Ave,"{'latitude': 40.75537, 'longitude': -73.97054}",1181,4.0,10022
nrxSzq-VxLqD7aFkE4SH3Q,Cocoron,37 Kenmare St,"{'latitude': 40.7207236, 'longitude': -73.9953191}",648,4.0,10012
FYWwW5lcxKzaA98Xgw8bqA,hanon,436 Union Ave,"{'latitude': 40.7134488, 'longitude': -73.9513445}",127,4.5,11211
DpZ7Xaub8Lhpg7VJdHaPpg,Zenkichi New York,77 N 6th St,"{'latitude': 40.71897, 'longitude': -73.96081}",985,4.0,11249
2txI-FAVf7q0SHNPcnjm7Q,Longevousjoy,6610 Bay Pkwy,"{'latitude': 40.61312, 'longitude': -73.98246}",298,3.5,11204
LKNhVc1VIt87NQL2wn9rnw,Suki,111 1st Ave,"{'latitude': 40.726943, 'longitude': -73.986107}",132,4.5,10003
lxQ-tzFmL1tmUqZUN-CSRQ,Bozu,296 Grand St,"{'latitude': 40.7129, 'longitude': -73.95749}",831,4.0,11211
K84FS4X-Hj2Xt_uUCjwNIA,Kissaki Sushi,286 Columbus Ave,"{'latitude': 40.778571, 'longitude': -73.978209}",18,4.5,10023
et9pAFtSvNOct9Qcmtcf7g,Mido Japanese,612 Amsterdam Ave,"{'latitude': 40.7900491, 'longitude': -73.9734598}",219,4.0,10024
tO6ktIDgzUQ4XOGR6-Vkvw,Ronin Stones,69 Clinton St,"{'latitude': 40.7194449632749, 'longitude': -73.9850056652613}",12,5.0,10002
n1xpGOPa7XRq4or7QLjzHw,DokoDemo,89 E 4th St,"{'latitude': 40.72638, 'longitude': -73.98964}",302,4.5,10003
pqqhHTz_ZpApsaWGa_zMTA,Douska,63 Delancey St,"{'latitude': 40.7191369, 'longitude': -73.9908998}",82,4.5,10002
wcwftlB-61XG4ymGTR61aw,SakaMai,157 Ludlow St,"{'latitude': 40.7209536656701, 'longitude': -73.9881407239426}",674,4.0,10002
qm1J_dPA5IHij1oAnoZwHw,nonono,118 Madison Ave,"{'latitude': 40.74545, 'longitude': -73.98499}",764,4.0,10016
HO8vjBAFY3GU1erXMZ_UbQ,CHOCHIN,310 E 93rd St,"{'latitude': 40.781805, 'longitude': -73.947887}",92,4.5,10128
P_UREWCQxEYVbBa-KW_Wew,EN Japanese Brasserie,435 Hudson St,"{'latitude': 40.7306, 'longitude': -74.00698}",1250,4.0,10014
pNe8ZCkGTe4cXfKdOF7kYQ,Ise Restaurant,63 Cooper Sq,"{'latitude': 40.7291024, 'longitude': -73.9900618}",462,4.5,10003
lEH8EUPX3Zn_trHauIycYw,Aoi Kitchen,320 E 6th St,"{'latitude': 40.72683167, 'longitude': -73.98754333}",87,4.5,10003
itblJyiTY2h2ACidLk66oA,Takahachi,85 Ave A,"{'latitude': 40.72526, 'longitude': -73.9843}",562,4.0,10009
bnaeQCoBiQ7a5IfyBkrGCg,MIFUNE New York,245 E 44th St,"{'latitude': 40.75157, 'longitude': -73.97172}",192,4.0,10017
m1cJLpDN4B-_0hGgPfe5OA,Salt + Charcoal,171 Grand St,"{'latitude': 40.71453, 'longitude': -73.9613511}",512,4.0,11249
wpT1QU7PSQgQQ1DkzI00JA,Izakaya Toribar,164 E 56th St,"{'latitude': 40.759641, 'longitude': -73.9685558}",45,4.5,10022
tT6teP3ZfCAfvdPdDoqG4A,Ki Sushi,122 Smith St,"{'latitude': 40.68764, 'longitude': -73.9901}",702,4.0,11201
DNSFvZtdsqkaidmFSpm-Jw,Soba Noodle Azuma,251 W 55th St,"{'latitude': 40.76526, 'longitude': -73.9832}",290,4.0,10019
T2fE7hGS83Ba-QNCOqbK4A,Ako,205 Bedford Ave,"{'latitude': 40.7168599, 'longitude': -73.95845}",404,4.0,11211
_FhKGcCbiYgtkXcCiwTAiA,Aburiya Kinnosuke,213 E 45th St,"{'latitude': 40.752583, 'longitude': -73.972274}",753,4.0,10017
SoBdWOxymmY5yKANn63UWw,Ozu,78 Clark St,"{'latitude': 40.6974732130766, 'longitude': -73.9932652562857}",260,4.0,11201
4eAgPj7eKonKAtk64kgUfQ,Matsuri,39-56 61st St,"{'latitude': 40.7458357, 'longitude': -73.9035436}",132,4.5,11377
rN347NNwQ0hDSlbedzI9BQ,Kai Sushi Asian Fusion,1475 Williamsbridge Rd,"{'latitude': 40.84362, 'longitude': -73.84565}",240,4.0,10461
D6ZEcG1FCZ18nekMWrhgMg,Wokuni,327 Lexington Ave,"{'latitude': 40.7492189, 'longitude': -73.9773529}",231,4.0,10016
_IkMfWpOkQXRZtJAYJUJIw,Hama Japanese Cuisine,11 W 51st St,"{'latitude': 40.7597846984863, 'longitude': -73.9776382446289}",367,4.0,10019
OLSSJIp8pu5UlugTF7tuHA,Ootoya Chelsea,8 W 18th St,"{'latitude': 40.738721, 'longitude': -73.99279}",1402,4.0,10011
y_ylOQzCP-9D_4DcUIJ3jA,Shabu-Tatsu East Village,216 E 10th St,"{'latitude': 40.729147, 'longitude': -73.985906}",636,4.0,10003
4CAJ-JvgbzBdoWq1CXtCFw,Umi Sushi,177-13 Union Tpke,"{'latitude': 40.7261983305216, 'longitude': -73.790670633316}",657,4.5,11366
O9WmKufAUqDM0j2HpgLVlw,Tamashii Ramen,2905 Broadway,"{'latitude': 40.7628026, 'longitude': -73.926578}",719,4.0,11106
wjIyCBEpCG_HRp8veiI0YQ,Ootoya Times Square,141 W 41st St,"{'latitude': 40.75487, 'longitude': -73.98599}",943,4.0,10036
NGDLKVh3x5Hch24XWb6M9w,Sushi Nonaka,410 Amsterdam Ave,"{'latitude': 40.783672, 'longitude': -73.978343}",50,5.0,10024
HFn1sPqKSzvxaMk2n2ZtJw,Kotobuki Manhattan,56 3rd Ave,"{'latitude': 40.731107, 'longitude': -73.98912}",623,4.0,10003
-J8VuX3wGrYSOBu2G0hMsw,Katsu-Hama,11 E 47th St,"{'latitude': 40.75638, 'longitude': -73.97759}",1330,4.0,10017
mdAt1D1XUG-HwTYmPSi9fA,Izakaya Mew Flushing,146-13 Northern Blvd,"{'latitude': 40.76536, 'longitude': -73.82022}",191,4.0,11354
NRJq2BNcbjqAyxUB_bw7gw,Momoya,185 7th Ave,"{'latitude': 40.7426255196333, 'longitude': -73.9966481924057}",659,4.0,10011
PTYUAAJbEmvIv4EsyRrcnA,Momoya,427 Amsterdam Ave,"{'latitude': 40.784043, 'longitude': -73.977391}",448,4.0,10024
J9UA6rzI5WW_cDGjwDnF5g,Tsurutontan Udon Noodle Brasserie,21 E 16th St,"{'latitude': 40.73678, 'longitude': -73.9910699}",1864,4.0,10003
j-a8HUcsBJXHV2IfF786jw,Kogane Ramen,76 Henry St,"{'latitude': 40.698608, 'longitude': -73.992675}",342,4.0,11201
mlm40NxsVJUPnh3LTayaaw,Kimika,40 Kenmare St,"{'latitude': 40.720572, 'longitude': -73.995206}",60,4.5,10012
i9W3EVA6FjB6lWWSEmhndA,Sake Bar Decibel,240 E 9th St,"{'latitude': 40.729299, 'longitude': -73.9878008}",981,4.0,10003
6t5xWjPLWAjJV3YFMX_oaw,Hirohisa,73 Thompson St,"{'latitude': 40.724597, 'longitude': -74.003174}",158,4.5,10012
LjAt-SP7BwIpp56TZHVsWA,Uotora,1075 Bergen St,"{'latitude': 40.676369, 'longitude': -73.950486}",87,4.5,11216
flHcoaHEWxACgc-Vk9MsOQ,Jukai,237 E 53rd St,"{'latitude': 40.7572093705873, 'longitude': -73.9678837692742}",160,4.0,10022
raelHbSJ_gTo701c-KyXWg,Minca,536 E 5th St,"{'latitude': 40.72412, 'longitude': -73.98288}",1665,4.0,10009
ZaJS8EKQNSaQpwpmgN-vVw,Samurai Mama,205 Grand St,"{'latitude': 40.7140208838114, 'longitude': -73.960325717926}",600,4.0,11211
ocnHpILS80DHL--34L8xpw,Sushi Noz,181 E 78th St,"{'latitude': 40.77385, 'longitude': -73.95813}",106,4.5,10075
KrJ6m_TkxBAPPSNH-G7rvQ,U-gu,541 Myrtle Ave,"{'latitude': 40.69393, 'longitude': -73.96284}",130,4.5,11205
8NVN6Nldm7AGoGaABBZMRw,Izakaya NoMad,13 W 26th St,"{'latitude': 40.74409, 'longitude': -73.98945}",674,4.0,10010
B8wHwGZCddRZ_T953FApxQ,Maki Kosaka,55 W 19th St,"{'latitude': 40.740322, 'longitude': -73.99379}",17,4.5,10011
9xRIcn0jTyvWNH9aBO3oAA,Kenka,25 St Marks Pl,"{'latitude': 40.72913, 'longitude': -73.988465}",1538,3.5,10003
91tQ4ToReVVCA5MTJi9gfw,Iron Chef House,92 Clark St,"{'latitude': 40.6972664717136, 'longitude': -73.9925980567932}",407,4.0,11201
ymb0SvFrlcWm6k_Gx5SYcQ,Yuzu,350 Lenox Ave,"{'latitude': 40.80937, 'longitude': -73.94399}",195,4.0,10027
Nnc2RVv5TPNAy70gOJrc-Q,Moonrise Izakaya,774 Amsterdam Ave,"{'latitude': 40.795399, 'longitude': -73.969762}",78,4.5,10025
1m1iOc8EplJ4tiCez7hf2Q,750 Myrtle Diner,750 Myrtle Ave,"{'latitude': 40.694779, 'longitude': -73.952807}",113,4.0,11205
SUHJfh7H2NiQx8c5OWoAyQ,Sushi Yashin,381 5th Ave,"{'latitude': 40.6708328473989, 'longitude': -73.9847132950057}",197,4.0,11215
Lz_9RXFKmOaSA4IpgV6NlA,Karazishi Botan,255 Smith St,"{'latitude': 40.68312, 'longitude': -73.99278}",31,4.5,11231
RYKGs45OjF-vlb2Ds2Jb_g,Izakaya Juraku,121 Ludlow St,"{'latitude': 40.7196796287355, 'longitude': -73.9887088537216}",109,4.5,10002
bokNBgAa9rmMMO8dkZVR1w,Rice & Miso,134 Nevins St,"{'latitude': 40.6845436245203, 'longitude': -73.9837776124477}",73,4.5,11217
