Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
vWoT1h8E2eWvIdJqpuxfdg,Tofu Tofu,96 Bowery,"{'latitude': 40.7176299520983, 'longitude': -73.9954301342368}",343,4.5,10013
fMf4P22m65creknIICuaXA,Kuun,290 Livingston St,"{'latitude': 40.6884292, 'longitude': -73.9831506}",37,4.5,11217
ogCC-lJJYnwXDvKGmKZ6Sw,Woorijip,12 W 32nd St,"{'latitude': 40.74747, 'longitude': -73.98648}",2646,4.0,10001
qY1o1MhoRyN84RRhUJtvpQ,Her Name Is Han,17 E 31st St,"{'latitude': 40.7462615966797, 'longitude': -73.984733581543}",1232,4.0,10016
igcUHNvsKc-s-RtvUmkg2w,K'OOK,324 E 6th St,"{'latitude': 40.72682, 'longitude': -73.98738}",438,4.0,10003
TTGFxOebpxfLVVFqfZemKA,Boka,23 Pell St,"{'latitude': 40.714809, 'longitude': -73.998272}",31,4.5,10013
lSQAmoQtmciUld36ogOoOw,Cho Dang Gol Korean Restaurant,55 W 35th St,"{'latitude': 40.7502365112305, 'longitude': -73.986198425293}",1109,4.0,10001
FZpm4_fbd6P984foOUejWg,Jongro BBQ,22 W 32nd St,"{'latitude': 40.747514, 'longitude': -73.986884}",1971,4.0,10001
2Bg8Jfl2FvH1unmvxNS0dQ,Sik Gaek,49-11 Roosevelt Ave,"{'latitude': 40.743485, 'longitude': -73.9148356}",572,4.0,11377
6fYGuJZXiFb282D1qJzWSQ,Mokja,852 Amsterdam,"{'latitude': 40.797744938993, 'longitude': -73.9678908884525}",148,4.0,10025
cOXYWZ_GTX-_ue_kveguRg,SSAM,170 Smith St,"{'latitude': 40.68594, 'longitude': -73.991274}",409,3.5,11201
fVbUVAiLiGgLA_nxBFxyww,Thursday Kitchen,424 E 9th St,"{'latitude': 40.7275, 'longitude': -73.9838}",1346,4.5,10009
FsuJ7VC5vxX3wcLhFrb97Q,Oiji,119 1st Ave,"{'latitude': 40.72727, 'longitude': -73.98585}",510,4.5,10003
_saXnBy0Wq2Gb3YusWZhqw,Five Senses,9 W 32nd St,"{'latitude': 40.747573158626, 'longitude': -73.9863122632311}",1428,4.0,10001
0U9uW93o9DUnAP7r-76LVg,Haenyeo,239 5th Ave,"{'latitude': 40.67519, 'longitude': -73.98116}",134,4.0,11215
IjQ2yGUKkvP0JIldT9vRFQ,Take31,15 E 31st St,"{'latitude': 40.7463, 'longitude': -73.984809}",594,4.0,10016
HiTAdo-v0S1nSfkXfynnHg,Lim's Kitchen,38-40 Crescent St,"{'latitude': 40.75497, 'longitude': -73.93692}",172,5.0,11101
EKkHfSYTm266-ZBve3SdgA,Yoon Haeundae Galbi,8 W 36th St,"{'latitude': 40.749866, 'longitude': -73.984441}",451,4.5,10018
q1gZLXETOCkRrOESCcjdqw,Doma,43-43 41st St,"{'latitude': 40.7446884, 'longitude': -73.922957}",191,4.0,11104
YqWXNq0Ku7cGb6Zj1j43Pw,KAL,34-05 30th Ave,"{'latitude': 40.76584, 'longitude': -73.91859}",169,4.5,11103
FAALx4s7PBtCZWKFqRNPNQ,Tiger Box,169 Park Ave,"{'latitude': 40.6963379, 'longitude': -73.972758}",68,4.5,11205
PAQDvkvVselqlhOc0Mh92g,Doma,120 1st Ave,"{'latitude': 40.72703, 'longitude': -73.985392}",38,4.5,10009
4Y7N9NqTII8MpRzv4psgAw,Ms Ohho,146 Nassau Ave,"{'latitude': 40.72474, 'longitude': -73.94755}",30,4.5,11222
FizBsTIAJwNrImIG1mPDcg,Barn Joo,35 Union Sq W,"{'latitude': 40.73684, 'longitude': -73.99069}",1626,4.0,10003
c06A8F4Z3hP5tJ2VetxCjA,Hahm Ji Bach,40-11 149th Pl,"{'latitude': 40.763106, 'longitude': -73.814917}",1149,4.0,11354
NN1CbvVnboWkjHMjpujYVA,MO:DEN,152-24 Northern Blvd,"{'latitude': 40.764696, 'longitude': -73.812167}",4,5.0,11354
BtVnZmPY51ZWGY63-mzJ7A,ON,110 Madison Ave,"{'latitude': 40.74502, 'longitude': -73.98513}",149,4.5,10016
z28cRtpdfiJfzIp1vkMAwQ,Koko Wings,248 W 106th St,"{'latitude': 40.80096, 'longitude': -73.96734}",328,3.5,10025
0GN6l4FAknTFSWZhEan45A,GunBae Tribeca,67 Murray St,"{'latitude': 40.714683, 'longitude': -74.010223}",287,4.0,10007
x9ADy3a--S_6Oqn_1KLipA,Kang Ho Dong Baekjeong,1 E 32nd St,"{'latitude': 40.747173576622, 'longitude': -73.9852144232788}",1283,4.0,10016
sHVnV3l2_mQefULh0mvwUA,The Woo,206 Spring St,"{'latitude': 40.7253, 'longitude': -74.00371}",93,4.0,10012
gvUSss0MIPnNC-rph2e3vQ,Mokja,1663 1st Ave,"{'latitude': 40.77744, 'longitude': -73.94931}",142,4.0,10028
xZ96vaoL-cQjfotmUKtjJQ,Barn Joo 35,34 W 35th St,"{'latitude': 40.74964, 'longitude': -73.98582}",2021,4.5,10001
HKlcHprrOCbwMw6x71zYLg,Mokja,3519 Broadway,"{'latitude': 40.7602569466645, 'longitude': -73.9214469280272}",286,3.5,11106
HUKn7SlSjYtemmPiGLnD2w,Rice kitchen,204 Spring St,"{'latitude': 40.725166, 'longitude': -74.003712}",20,5.0,10012
I6KHYESZdZQz0fnMaMyIpQ,Zusik,202 W 14th St,"{'latitude': 40.738532, 'longitude': -74.000368}",162,4.5,10011
gXnC_aZR09BvqEQKGKFjBg,BCD Tofu House,5W 32nd St,"{'latitude': 40.747509, 'longitude': -73.986079}",2036,4.0,10001
2TWJdgcdVmvyeBoWTUDEww,The Basac,158-09 Northern Blvd,"{'latitude': 40.7634087, 'longitude': -73.807005}",233,4.0,11358
IIM-dzbOvg4x7h-AjHsq9Q,Bulbap Grill,646 Manhattan Ave,"{'latitude': 40.7243, 'longitude': -73.9509099}",147,4.5,11222
LMyvruexOQzzHQrAgbdqiA,Nowon,507 East 6th St,"{'latitude': 40.72532, 'longitude': -73.98334}",93,4.5,10009
GDWVTV11eq92ElXD9mstBw,Boka,9 St Marks Pl,"{'latitude': 40.729519, 'longitude': -73.989104}",1531,3.5,10003
fVsH6QIJPzXpVbgmeiolsA,Jungsik,2 Harrison St,"{'latitude': 40.7185910158738, 'longitude': -74.0088844299316}",595,4.5,10013
ldFemlie1eORfj4i50v78Q,Miss Korea,278 Wanaque Ave,"{'latitude': 41.003398, 'longitude': -74.291798}",1,5.0,07442
_9Hjy0gZ5TJ8D_LfYkV_bA,Mad For Chicken - Sunnyside,43-22 Queens Blvd,"{'latitude': 40.743129, 'longitude': -73.920801}",16,4.0,11104
3nvwvbbkJN2Cyp1VUuG6rA,Daesung Korean Noodle,45-04 162nd St,"{'latitude': 40.75616, 'longitude': -73.80484}",293,4.5,11358
orYWYTk6kNK1YODsADk_tg,The Jin,856 10th Ave,"{'latitude': 40.768541, 'longitude': -73.988734}",285,4.5,10019
xtxcAUvrD4dWHJd0cwvW1A,JeJu Noodle Bar,679 Greenwich St,"{'latitude': 40.73304, 'longitude': -74.00734}",585,4.5,10014
