Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
VSPkVw9gSQx-5v4A6aC_YA,Manousheh,193 Bleecker St,"{'latitude': 40.729511, 'longitude': -74.001275}",446,4.5,10012
0FaLilJs2VN83hOEBcBnPg,Au Za'atar,188 Avenue A,"{'latitude': 40.728901, 'longitude': -73.981185}",929,4.0,10009
B55Ocx5RBWxo6AGSucYSIA,ilili,236 5th Ave,"{'latitude': 40.74435, 'longitude': -73.98778}",2405,4.0,10001
lUpyqsKw-IBqsMgYIHZj7Q,Balade,208 1st Ave,"{'latitude': 40.730251, 'longitude': -73.983001}",713,4.0,10009
lxHKbp0hReRBPZcq4fUUow,Naya Mezze & Grill,1057 2nd Ave,"{'latitude': 40.75848, 'longitude': -73.96612}",512,4.0,10022
51YLgpfHKfXxOkDFe9sT-w,Balade - Your Way,144 West 37th St,"{'latitude': 40.7524299621582, 'longitude': -73.9887237548828}",356,4.5,10018
eW7kDF_1PT0CBbKA0sjLfA,Souk El Shater,43-03 Queens Blvd,"{'latitude': 40.74385, 'longitude': -73.92113}",227,4.5,11104
6eVNHrnp67ZniJYLik1qig,Yara,319 E 53rd St,"{'latitude': 40.75646, 'longitude': -73.9662}",121,4.5,10022
4taegd-dJm0xGJOmqG5DtQ,Cafe Alula,252 Franklin St,"{'latitude': 40.73461, 'longitude': -73.95822}",49,5.0,11222
R3fMQtSL0MrMUyW_Q32oNw,NAYA,One New York Plz,"{'latitude': 40.7021301747589, 'longitude': -74.0118362768599}",147,4.5,10004
iufQFxf-g1j-5lC6GRTiog,The Migrant Kitchen,749 Metropolitan Ave,"{'latitude': 40.714694, 'longitude': -73.944175}",11,5.0,11211
PYv7MXnCDuSPA9Yakf1Rqw,Souk & Sandwich,117 Ave Of The America's,"{'latitude': 40.7238561, 'longitude': -74.0048973}",141,4.0,10013
4fNKBr3mlxKHfCojW0i_Uw,NAYA,688 3rd Ave,"{'latitude': 40.751708, 'longitude': -73.973977}",409,4.0,10017
3_IGUmtYVOM9xevkRUidEw,Toum,38 West 38th St,"{'latitude': 40.751501, 'longitude': -73.984589}",12,5.0,10018
_-EQR2vNYg-b1eZwAgp6JQ,Tanoreen,7523 3rd Ave,"{'latitude': 40.6308, 'longitude': -74.02775}",862,4.0,11209
wctR1TrheHAwpHZ2sJknEw,Yemen Cafe & Restaurant,176 Atlantic Ave,"{'latitude': 40.6899167976363, 'longitude': -73.9936561765076}",517,4.5,11201
DWR54ugpSThnDub4xeHWow,Karam Restaurant,8519 4th Ave,"{'latitude': 40.62297, 'longitude': -74.02807}",338,4.0,11209
rbb3TpbtzrBbzRxKOTxzEg,NAYA,54 W 56th St,"{'latitude': 40.763121, 'longitude': -73.977025}",212,4.0,10019
X155pxtcrY7l7Awh5zzm7g,Tripoli Restaurant,156 Atlantic Ave,"{'latitude': 40.690063, 'longitude': -73.994621}",110,3.5,11201
6G0urbBDz_CnYnGXApgUcw,Boutros,185 Atlantic Ave,"{'latitude': 40.6901481293837, 'longitude': -73.9935445412993}",123,4.5,11201
jYQijI8_-Zh8CX2jAIBiYQ,Al Nour,41-8 30th Ave,"{'latitude': 40.7631912, 'longitude': -73.9139464}",22,3.5,11103
Asyo_3Y7FQsv2f8noYTL9g,Feb 30 Lebanese Eatery,110 Macdougal St,"{'latitude': 40.72957, 'longitude': -74.00073}",31,4.5,10012
CLD0Bh-Z_7oGDQOcYdPGLg,Le Sajj,8221 5th Ave,"{'latitude': 40.6237164, 'longitude': -74.0248142}",106,3.5,11209
