Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
9WgsvzaiXNAmmQGD0uQxFQ,Thai Holic,372 Myrtle Ave,"{'latitude': 40.693005, 'longitude': -73.971286}",439,4.5,11205
B3_K2kUVbYOU0VaLcj_LTw,Thai Villa,5 E 19th St,"{'latitude': 40.73902, 'longitude': -73.99065}",3440,4.5,10003
jjJc_CrkB2HodEinB6cWww,LoveMama,174 2nd Ave,"{'latitude': 40.7303859, 'longitude': -73.9860613}",5096,4.5,10003
-OixbLnFLCzQclxCSbUQ8w,Up Thai,1411 2nd Ave,"{'latitude': 40.7698275926665, 'longitude': -73.9576330868512}",2332,4.5,10021
f_a1oO8-y2qorh_-K8xWHw,Thai Farm Kitchen Seaport,21 Peck Slip,"{'latitude': 40.70824, 'longitude': -74.0017}",44,4.5,10038
MhceeLrM2_3mcKw5EGLY6A,Pure Thai Cookhouse,766 9th Ave,"{'latitude': 40.764291, 'longitude': -73.988159}",2548,4.0,10019
wGFSTTB6b4MHJJUzBnVJeg,Top Thai Greenwich,235 Sullivan St,"{'latitude': 40.729771, 'longitude': -73.999392}",1512,4.5,10012
VoAuIReq_cPUrFwxbWqG_Q,SalaThai Restaurant,307 Amsterdam Ave,"{'latitude': 40.7801199, 'longitude': -73.98032}",377,4.5,10023
liGIz8CzhyS1udx1aefjng,Williamsburg Thai Cuisine,212 Bedford Ave,"{'latitude': 40.71699, 'longitude': -73.9588799}",228,4.0,11249
0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,64-13 39th Ave,"{'latitude': 40.7464987, 'longitude': -73.8992328}",2358,4.0,11377
RrPIJvmje1qb9iaYd6jH0g,Pinto Restaurant,128 Montague St,"{'latitude': 40.6947735368336, 'longitude': -73.9943484261754}",216,4.0,11201
qrydcGQpeDP_1oFvx3qOeg,Somtum Der,85 Ave A,"{'latitude': 40.7252151982238, 'longitude': -73.9842741682317}",745,4.0,10009
83BXSwE0166sObnXLUE4bQ,Land,450 Amsterdam Ave,"{'latitude': 40.78497, 'longitude': -73.9772182}",1056,4.0,10024
-XYp6w50XbZfS90YddS5ew,Soothr,204 E 13th St,"{'latitude': 40.732318, 'longitude': -73.9873417}",71,5.0,10003
5ZjNZd3Yg0jOkJ9WRx1r6g,Kor Tor Mor,204 Smith St,"{'latitude': 40.6846634, 'longitude': -73.9918633}",251,4.0,11201
O1fUmxt3kbV-rnyjBtzAfw,THEP Thai Restaurant,1439 2nd Ave,"{'latitude': 40.77078, 'longitude': -73.95727}",1209,4.5,10021
0IFDnYf3bhqxJR6hVrG7Gw,Top Thai 55 - Carmine,55 Carmine St,"{'latitude': 40.729967, 'longitude': -74.004229}",319,4.5,10014
liZmIO0FqZwslLJfLDkfgw,Wayla,100 Forsyth St,"{'latitude': 40.7183, 'longitude': -73.9926038}",278,4.5,10002
XgiG7K7ubHsj2JJ-c2sXnw,Thai Diner,186 Mott St,"{'latitude': 40.720714, 'longitude': -73.9956057}",61,4.0,10012
WJS06XxRdc6DD1s4LWE9HA,Fish Cheeks,55 Bond St,"{'latitude': 40.7258, 'longitude': -73.9927}",679,4.5,10012
9v4l7pz4J709z0mkqUpQbw,Savory Thai,378 Metropolitan Ave,"{'latitude': 40.71395, 'longitude': -73.95554}",54,4.5,11211
n20BmzZ-KGd0RCKcPGRv1A,Klom Klorm,181 Wyckoff Ave,"{'latitude': 40.70318, 'longitude': -73.91701}",270,4.5,11237
1sEr-BDi2LD6HH6K960pfQ,ACE Thai Kitchen,330 Myrtle Ave,"{'latitude': 40.69315, 'longitude': -73.97328}",96,4.5,11205
pSSajdYNKTyAGV8-fk7fWQ,Joya,215 Ct St,"{'latitude': 40.6866607666016, 'longitude': -73.9934997558594}",1315,3.5,11201
hSiTqxKKgvQSI5x5VdMjoQ,Top Thai - Brooklyn,8510 4th Ave,"{'latitude': 40.62325, 'longitude': -74.02838}",305,3.5,11209
a-Bq_yXFVk2PptoWpmry3w,Pye Boat Noodle,35-13 Broadway,"{'latitude': 40.76043, 'longitude': -73.92152}",830,4.0,11106
